Telephone Sites
 100.00000	   0.00000
  88.54560	  46.47230
  56.80650	  82.29840
  12.05370	  99.27090
 -35.46050	  93.50160
 -74.85110	  66.31230
 -97.09420	  23.93160
 -97.09420	 -23.93160
 -74.85110	 -66.31230
 -35.46050	 -93.50160
  12.05370	 -99.27090
  56.80650	 -82.29840
  88.54560	 -46.47230
 300.00000	   0.00000
 265.63680	 139.41700
 170.41940	 246.89520
  36.16100	 297.81270
-106.38150	 280.50490
-224.55320	 198.93680
-291.28250	  71.79470
-291.28250	 -71.79470
-224.55320	-198.93680
-106.38150	-280.50490
  36.16100	-297.81270
 170.41940	-246.89520
 265.63680	-139.41700
